"year","region","cancer","race","rateType","rate"
2015,0,"All Cancers","All Races","incidenceRate",NA
2015,0,"All Cancers","All Races","mortalityRate",NA
2015,0,"All Cancers","Native American","incidenceRate",NA
2015,0,"All Cancers","Native American","mortalityRate",NA
2015,0,"All Cancers","Asian","incidenceRate",NA
2015,0,"All Cancers","Asian","mortalityRate",NA
2015,0,"All Cancers","Black","incidenceRate",NA
2015,0,"All Cancers","Black","mortalityRate",NA
2015,0,"All Cancers","Hispanic","incidenceRate",NA
2015,0,"All Cancers","Hispanic","mortalityRate",NA
2015,0,"All Cancers","White","incidenceRate",NA
2015,0,"All Cancers","White","mortalityRate",NA
2015,0,"Brain Cancer","All Races","incidenceRate",NA
2015,0,"Brain Cancer","All Races","mortalityRate",NA
2015,0,"Brain Cancer","Native American","incidenceRate",NA
2015,0,"Brain Cancer","Native American","mortalityRate",NA
2015,0,"Brain Cancer","Asian","incidenceRate",NA
2015,0,"Brain Cancer","Asian","mortalityRate",NA
2015,0,"Brain Cancer","Black","incidenceRate",NA
2015,0,"Brain Cancer","Black","mortalityRate",NA
2015,0,"Brain Cancer","Hispanic","incidenceRate",NA
2015,0,"Brain Cancer","Hispanic","mortalityRate",NA
2015,0,"Brain Cancer","White","incidenceRate",NA
2015,0,"Brain Cancer","White","mortalityRate",NA
2015,0,"Cervical Cancer","All Races","incidenceRate",NA
2015,0,"Cervical Cancer","All Races","mortalityRate",NA
2015,0,"Cervical Cancer","Native American","incidenceRate",NA
2015,0,"Cervical Cancer","Native American","mortalityRate",NA
2015,0,"Cervical Cancer","Asian","incidenceRate",NA
2015,0,"Cervical Cancer","Asian","mortalityRate",NA
2015,0,"Cervical Cancer","Black","incidenceRate",NA
2015,0,"Cervical Cancer","Black","mortalityRate",NA
2015,0,"Cervical Cancer","Hispanic","incidenceRate",NA
2015,0,"Cervical Cancer","Hispanic","mortalityRate",NA
2015,0,"Cervical Cancer","White","incidenceRate",NA
2015,0,"Cervical Cancer","White","mortalityRate",NA
2015,0,"Colorectal Cancer","All Races","incidenceRate",NA
2015,0,"Colorectal Cancer","All Races","mortalityRate",NA
2015,0,"Colorectal Cancer","Native American","incidenceRate",NA
2015,0,"Colorectal Cancer","Native American","mortalityRate",NA
2015,0,"Colorectal Cancer","Asian","incidenceRate",NA
2015,0,"Colorectal Cancer","Asian","mortalityRate",NA
2015,0,"Colorectal Cancer","Black","incidenceRate",NA
2015,0,"Colorectal Cancer","Black","mortalityRate",NA
2015,0,"Colorectal Cancer","Hispanic","incidenceRate",NA
2015,0,"Colorectal Cancer","Hispanic","mortalityRate",NA
2015,0,"Colorectal Cancer","White","incidenceRate",NA
2015,0,"Colorectal Cancer","White","mortalityRate",NA
2015,0,"Uterine Cancer","All Races","incidenceRate",NA
2015,0,"Uterine Cancer","All Races","mortalityRate",NA
2015,0,"Uterine Cancer","Native American","incidenceRate",NA
